Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes,image,360_image
Macintosh Portable - Cloth Carrying Case,Peripheral,Case,Macintosh Portable - Cloth Carrying Case,Macintosh Portable - Cloth Carrying Case,Macintosh Portable,,,,1989,2013.07.282,,,,,
Generic Leather Carrying Case,Peripheral,Case,Generic Leather Carrying Case,Generic Leather Carrying Case,,,,,,2014.08.06,,Brad Feld,Leather pouch w/ zipper; includes smaller velcro-sealed pouch.,,
litl Container,Peripheral,Case,litl Container,litl Container,litl Webbook,Container and Cards,,,2009,2014.1.120,,Chris Moody,Includes printed matter.,,
Dell Axim X5 - Leather Case,Peripheral,Case,Axim X5 Leather Case,Dell Axim X5 - Leather Case,Dell Axim X5,,,,~2002,2014.1.128,,Chris Moody,,,
Handspring Palm Treo - Cloth Case,Peripheral,Case,Handspring Palm Treo - Cloth Case,Handspring Palm Treo - Cloth Case,Handspring Palm Treo,,,,~2002,2014.1.130,,Chris Moody,Can be clipped onto belt.,,
Mead Tech Mates CD Escort,Peripheral,Cases,Mead Tech Mates CD Escort,,,,,,,2018.10.29,,,Holds 40 CDs,,
