[Product Name],Medium,Type,Product Name,User Name,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Drive Disk,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession #,Tested [date],Donor,Notes
[Amazon Kindle - Large],Hardware,eReader,Amazon Kindle,Amazon Kindle - Large,Amazon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013.07.269,,,
[Amazon Kindle - Small],Hardware,eReader,Amazon Kindle,Amazon Kindle - Small,Amazon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013.07.268,,,
[Sony Reader],Hardware,eReader,Sony Reader,Sony Reader,Sony,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2013.07.267,,,
