Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes,image,360_image
Sony VCR,Video,Video Cassette Recorder,Sony SLV-N51 4-Head Hi-Fi VCR:,,Sony,SLV-N51,2001,,,,,,,,,,,,2019.04.143,,Priscilla Wagener,Includes remote,,
Sony Betacam,Video ,Portable VideoCassette recorder,Sony Betacam Portable Videocassette recorder,,,BVW-25,1982,,,,,,,,"3.5 mm jack, audio ins, video in w/ 26 pins",,,"Betacam videotapes, *not* SP",2019.07.18,,,"has no cords with it, came in a Dr. Quinn, Medicine Woman backpack and has a betamax bag inside. Staying in the DQ bag in the backroom",,
Revere Eight Projector,8mm film,Movie Projector,"Revere Eight ""85"" Projector",,Ranger Camera Company,"""85""",late 1940s,,A226009,,,,,,,,,,2019.11.02,,Marianne McHugh Porter,"includes case, empty projection reel, manual",,
