Item,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date tested,Donor,Notes,,,,,,,
Sound Blaster 16,Software,System Software,"CD-ROM & 3.5"" Floppy Disks",IBM/MS-DOS/Windows 3.1,Sound Blaster 16 Quad-Speed CD-ROM Drive Multimedia Kit,Sound Blaster 16,"Creative Labs, Inc.",,"Creative Labs, Inc.",English,1995,"User's Guide, CD-ROM, five 3.5"" Floppy Disks in a plastic bag",,,2017.12.07,,,,,,,,,,
File Express: database management software,Software,System Software,5¼” Floppy Disk,IBM/MS-DOS,File Express,File Express,Expressware Corporation,,Microsoft Corp.,English,1987,"Three program disks, three supplemental disks, and letter from Epressware Corporation",,,2017.12.19,,,,,,,,,,
Deadline,Software,System Software,5¼” Floppy Disk,IBM PC,Deadline,,"Infocom, Inc.",,"Infocom, Inc.",English,1982,5¼” Floppy Disk,,,2017.12.24,,,,,,,,,,
WordPerfect 5.0/5.1 Tutorial & Applications,Software,System Software,5¼” Floppy Disk,IBM PC,WordPerfect 5.0/5.1 Tutorial & Applications,,,,South Western Publishing Co.,English,1991,5¼” Floppy Disk,,,2017.12.27,,,,,,,,,,
Microsoft FrontPage 98,Software,System Software,CD-ROM  ,PC/ Windows NT/ Windows 95,Microsoft FrontPage 98,Microsoft FrontPage 98,Microsoft Corporation,,Microsoft Corporation,English,1995,CD-ROM ,,0697 Par No. X03-22670,2018.09.01,,,CD Key 3124-0065181,,,,,,,
Microsoft Windows Printing System setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft Windows Printing System setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1992,"Five 3.5"" floppy disks",,,2018.09.64,,,,,,,,,,
Microsoft Windows for Workgroups setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft Windows for Workgroups setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1993,"Eight 3.5"" floppy disks",,,2018.09.66,,,,,,,,,,
Microsoft Arcade setup disk,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft Arcade setup disk,,Microsoft Corporation,,Microsoft Corporation,English,1993,"3.5"" floppy disk",,,2018.09.67,,,,,,,,,,
Microsoft IntelliPoint for the Microsoft Mouse setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft IntelliPoint for the Microsoft Mouse setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1995,"Two 3.5"" floppy disks",,,2018.09.68,,,,,,,,,,
Windows Accelerator untility disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Windows Accelerator untility disks,,,,,English,,"Two 3.5"" floppy disks",,,2018.09.69,,,,,,,,,,
Microsoft MS-DOS 6.22 Plus Enhanced Tools setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft MS-DOS 6.22 Plus Enhanced Tools setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1994,"Three 3.5"" floppy disks",,,2018.09.70,,,,,,,,,,
Microsoft MS-DOS 6.22 Plus Enhanced Tools setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft MS-DOS 6.22 Plus Enhanced Tools setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1994,"Three 3.5"" floppy disks",,,2018.09.71,,,,,,,,,,
Intel FAXability Plus Software setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Intel FAXability Plus Software,,Intel Corp.,,Intel Corp.,English,1992,"Two 3.5"" floppy disks",,,2018.09.73,,,,,,,,,,
Microsoft IntelliPoint for the Microsoft Mouse setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Microsoft IntelliPoint for the Microsoft Mouse setup disks,,Microsoft Corporation,,Microsoft Corporation,English,1995,"Two 3.5"" floppy disks",,,2018.09.74,,,,,,,,,,
Intel SatisFAXtion Software setup disks,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Intel SatisFAXtion Software setup disks,,Intel Corp.,,Intel Corp.,English,1993,"Two 3.5"" floppy disks",,,2018.09.75,,,,,,,,,,
DCA Crosstalk Communicator,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,DCA Crosstalk Communicator,,Intel Corp.,,Intel Corp.,English,1992,"3.5"" floppy disk",,,2018.09.76,,,,,,,,,,
Parsons Technology Announcements for Windows setup disk,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,Parsons Technology Announcements for Windows setup disk,,"Envoy Software, Inc.",,"Parsons Technology, Inc.",English,1992,"3.5"" floppy disk",,,2018.09.77,,,,,,,,,,
3COM Etherdisk v4.1 for the Etherlink III Family install disk,Software,System Software,"3.5"" Floppy Disk",PC/ Windows ,3COM Etherdisk v4.1 for the Etherlink III Family install disk,,Computer Resources,,Computer Resources,English,,"3.5"" floppy disk",,,2018.09.78,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments TI-99/4A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"other productivity, programming, and system software",,,,,,,,,,,,,,,,,,,,,,,,,
Diskette bij Spelen met stereogrammen,Software,System Software,"3.5"" Floppy Disk",,Diskette bij Spelen met stereogrammen,Diskette bij Spelen met stereogrammen,Academic Service,Dan Richardson,Academic Service,German,,"3.5"" Floppy Disk",,ISBN: 9039502323,2018.09.02,,,,,,,,,,
IRIX Parallel Power 5.3,Software,System Software,CD-ROM,PC,IRIX Parallel Power 5.3,IRIX Parallel Power,Silicon Graphics Computer Systems,,Silicon Graphics Computer Systems,English,1994,CD-ROM,,812-0119-006,2018.09.04,,,,,,,,,,
Python Training CD 2.5.1 1997-2008,Software,Programming,CD ,,Python Training CD 2.5.1 1997-2008,Python Training CD 2.5.1 1997-2008,Mark Lutz,,,English,1997-2008,CD ,,,2018.11.23,,,,,,,,,,
