Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Drive Disk,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Tested [date],Donor,Notes
[HP ProBook 4510s Notebook PC],Hardware,Portable Computer,HP ProBook 4510s Notebook PC,HP ProBook 4510s Notebook PC,Hewlett Packard (HP),4510s,2010,,FM847UT#ABA,N/A,DVD-Writer,250 GB,2 GB,Intel Celeron T1700@1.83 GHz,"ExpressCard/34 Slot, (2) USB 2.0 Ports, HDMI Port, VGA Connector, RJ-45/Ethernet Port, Kensington Lock Slot",N/A,Windows Vista Home Basic,N/A,2013.07.276,,,
[HP Pavilion dv6700],Hardware,Portable Computer,HP Pavilion dv6700,HP Pavilion dv6700,Hewlett Packard (HP),dv6700,2007,Unknown,CNF751100N,N/A,CD-RW/DVD-RW,320GB,4GB,Core2 Duo 2.16 GHz,3 x USB 2.0; 1 x microphone; 2 x speaker; 1 x R-11 telecom; 1 x RJ-45 ethernet; 1x VGA display; 1 x SD-card reader; 1x ieee1394; 1 x S-video,ExpressCard expansion slot,WindowsVista,N/A,2014.08.20,,Brad Feld,No boot
