Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes,image,360_image
Paleotronic Magazine Issue 1 Volume 1,Printed Matter,Magazine,Paleotronic Magazine Issue 1 Volume 1,Paul Monopoli,Melody Ayres-Griffiths,,Paleotronic Magazine Pty. (Australia),2018,English,Magazine,4-65021-54180-0,2018.10.09,KansasFest 2018 from Melody & April Ayres-Griffiths,,,
Paleotronic Magazine Issue 2 Volume 1,Printed Matter,Magazine,Paleotronic Magazine Issue 2 Volume 1,"Paul Monopoli, George Bachaelor, David Stephenson, Don Griffiths, April Ayres-Griffiths",Melody Ayres-Griffiths,,Paleotronic Magazine Pty. (Australia),2018,English,Magazine,4-65021-54180-0,2018.10.10,KansasFest 2018 from Melody & April Ayres-Griffiths,,,
Unix / Minisystem Newsletter 1974-1982,Printed Matter,Newsletter,Unix / Minisystem Newsletter 1974-1982,,,,Bell Laboratories,1974-1982,English,Newsletter,,2018.11.05,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter Nov/Dec 1989,Printed Matter,Newsletter,Algorithm: The Personal Programming Newsletter Nov/Dec 1989,,A.K. Dewdney,,A.K. Dewdney,1989,English,Newsletter,0843-9753,2018.11.06,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter March/April 1990,,Newsletter,Algorithm: The Personal Programming Newsletter March/April 1990,,A.K. Dewdney,,A.K. Dewdney,1990,English,Newsletter,0843-9753,2018.11.07,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter May/June 1990,,Newsletter,Algorithm: The Personal Programming Newsletter May/June 1990,,A.K. Dewdney,,A.K. Dewdney,1990,English,Newsletter,0843-9753,2018.11.08,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter July/August 1990,,Newsletter,Algorithm: The Personal Programming Newsletter July/August 1990,,A.K. Dewdney,,A.K. Dewdney,1990,English,Newsletter,0843-9753,2018.11.09,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter September 1990,,Newsletter,Algorithm: The Personal Programming Newsletter September 1990,,A.K. Dewdney,,A.K. Dewdney,1990,English,Newsletter,0843-9753,2018.11.10,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter November 1990,,Newsletter,Algorithm: The Personal Programming Newsletter November 1990,,A.K. Dewdney,,A.K. Dewdney,1990,English,Newsletter,0843-9753,2018.11.11,Neil McBurnett,,,
Algorithm: The Personal Programming Newsletter January 1991,,Newsletter,Algorithm: The Personal Programming Newsletter January 1991,,A.K. Dewdney,,A.K. Dewdney,1991,English,Newsletter,0843-9753,2018.11.12,Neil McBurnett,,,
The Source Issue 5,Printed Matter,Zine,Space Invader,Cory Arcangel,,,Arcangel Surfware,2015,English,Zine,978-0-9966360-4-9,2019.04.118,,,,
Computer Lib/Dream Machines,Printed Matter,Zine,Computer Lib/ Dream Machines,Ted Nelson,,,Ted Nelson,1974,English,Zine/Self-Published,,2019.04.130,Grace Wilson,First edition,,
"Juiced.GS Vol. 1, Issue 1",Printed Matter,Magazine,The Roller-Coaster Ride of '95,,Max Jones,,Juiced.GS,1996,English,Computing,2162-7746,2019.04.18,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 1, Issue 2",Printed Matter,Magazine,Expanding the 'Net,,Max Jones,,Juiced.GS,1996,English,Computing,2162-7746,2019.04.19,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 1, Issue 3",Printed Matter,Magazine,Kfest '96,,Max Jones,,Juiced.GS,1996,English,Computing,2162-7746,2019.04.20,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 1, Issue 4",Printed Matter,Magazine,DELPHI Internet,,Max Jones,,Juiced.GS,1996,English,Computing,2162-7746,2019.04.21,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 2, Issue 1",Printed Matter,Magazine,It's here!!! A Web browser for the IIGS,,Max Jones,,Juiced.GS,1997,English,Computing,2162-7746,2019.04.22,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 2, Issue 2",Printed Matter,Magazine,The Graphical GS,,Max Jones,,Juiced.GS,1997,English,Computing,2162-7746,2019.04.23,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 2, Issue 3",Printed Matter,Magazine,Kfest '97,,Max Jones,,Juiced.GS,1997,English,Computing,2162-7746,2019.04.24,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 2, Issue 4",Printed Matter,Magazine,Programming fires still burn for Spectrum author,,Max Jones,,Juiced.GS,1997,English,Computing,2162-7746,2019.04.25,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 3, Issue 1",Printed Matter,Magazine,The Musical GS,,Max Jones,,Juiced.GS,1998,English,Computing,2162-7746,2019.04.26,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 3, Issue 2",Printed Matter,Magazine,The Apple II in education,,Max Jones,,Juiced.GS,1998,English,Computing,2162-7746,2019.04.27,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 3, Issue 3",Printed Matter,Magazine,Kfest '98,,Max Jones,,Juiced.GS,1998,English,Computing,2162-7746,2019.04.28,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 3, Issue 4",Printed Matter,Magazine,Learning the language,,Max Jones,,Juiced.GS,1998,English,Computing,2162-7746,2019.04.29,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 4, Issue 1",Printed Matter,Magazine,Emulation paints bright future for IIGS,,Max Jones,,Juiced.GS,1999,English,Computing,2162-7746,2019.04.30,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 4, Issue 2",Printed Matter,Magazine,SIS comes of age,,Max Jones,,Juiced.GS,1999,English,Computing,2162-7746,2019.04.31,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 4, Issue 3",Printed Matter,Magazine,Kfest '99,,Max Jones,,Juiced.GS,1999,English,Computing,2162-7746,2019.04.32,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 4, Issue 4",Printed Matter,Magazine,Apple Works... then and now,,Max Jones,,Juiced.GS,1999,English,Computing,2162-7746,2019.04.33,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 5, Issue 1",Printed Matter,Magazine,A IIGS e-mailer for the Internet,,Max Jones,,Juiced.GS,2000,English,Computing,2162-7746,2019.04.34,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 5, Issue 2",Printed Matter,Magazine,Turn your PC into a IIGS,,Max Jones,,Juiced.GS,2000,English,Computing,2162-7746,2019.04.35,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 5, Issue 3",Printed Matter,Magazine,Kfest goes live!,,Max Jones,,Juiced.GS,2000,English,Computing,2162-7746,2019.04.36,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 5, Issue 4",Printed Matter,Magazine,New online service opens doors for Apple II users,,Max Jones,,Juiced.GS,2000,English,Computing,2162-7746,2019.04.37,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 6, Issue 1",Printed Matter,Magazine,The IIGS Launching Pad,,Max Jones,,Juiced.GS,2001,English,Computing,2162-7746,2019.04.38,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 6, Issue 2",Printed Matter,Magazine,Tweaking your TransWarp GS for better performance,,Max Jones,,Juiced.GS,2001,English,Computing,2162-7746,2019.04.39,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 6, Issue 3",Printed Matter,Magazine,Fueling the spirit,,Max Jones,,Juiced.GS,2001,English,Computing,2162-7746,2019.04.40,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 6, Issue 4",Printed Matter,Magazine,Siemens router good networking solution for IIGS,,Ryan Suenaga,,Syndicomm,2002,English,Computing,2162-7746,2019.04.41,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 7, Issue 1",Printed Matter,Magazine,A Black Tie Affair,,Ryan Suenaga,,Syndicomm,2002,English,Computing,2162-7746,2019.04.42,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 7, Issue 2",Printed Matter,Magazine,Inaugural Juiced.GS swimsuit edition,,Ryan Suenaga,,Syndicomm,2002,English,Computing,2162-7746,2019.04.43,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 7, Issue 3",Printed Matter,Magazine,KFest 2002,,Ryan Suenaga,,Syndicomm,2002,English,Computing,2162-7746,2019.04.44,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 7, Issue 4",Printed Matter,Magazine,Special 24-page Internet issue,,Ryan Suenaga,,Syndicomm,2002,English,Computing,2162-7746,2019.04.45,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 8, Issue 1",Printed Matter,Magazine,Adventure Alive,,Ryan Suenaga,,Syndicomm,2003,English,Computing,2162-7746,2019.04.46,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 8, Issue 2",Printed Matter,Magazine,Stop the presses!! Guess who's coming to KansasFest 2003?,,Ryan Suenaga,,Syndicomm,2003,English,Computing,2162-7746,2019.04.47,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 8, Issue 3",Printed Matter,Magazine,KansasFest comeback,,Ryan Suenaga,,Syndicomm,2003,English,Computing,2162-7746,2019.04.48,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 8, Issue 4",Printed Matter,Magazine,MusinGS,,Ryan Suenaga,,Syndicomm,2003,English,Computing,2162-7746,2019.04.49,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 9, Issue 1",Printed Matter,Magazine,SIS 1.2,,Ryan Suenaga,,Syndicomm,2004,English,Computing,2162-7746,2019.04.50,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 9, Issue 2",Printed Matter,Magazine,In Memoriam: The staff of Juiced.GS remembers Gary Utter,,Ryan Suenaga,,Syndicomm,2004,English,Computing,2162-7746,2019.04.51,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 9, Issue 3",Printed Matter,Magazine,KFest 2004,,Ryan Suenaga,,Syndicomm,2004,English,Computing,2162-7746,2019.04.52,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 9, Issue 4",Printed Matter,Magazine,Serial Cables,,Ryan Suenaga,,Syndicomm,2004,English,Computing,2162-7746,2019.04.53,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 10, Issue 1",Printed Matter,Magazine,A Decade of Juiced.GS,,Ryan Suenaga,,Syndicomm,2005,English,Computing,2162-7746,2019.04.54,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 10, Issue 2",Printed Matter,Magazine,Serving it up: Kevin Sherlock's Silver Platter,,Ryan Suenaga,,Syndicomm,2005,English,Computing,2162-7746,2019.04.55,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 10, Issue 3",Printed Matter,Magazine,A New Beginning: KansasFest 2005,,Ryan Suenaga,,Syndicomm,2005,English,Computing,2162-7746,2019.04.56,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 10, Issue 4",Printed Matter,Magazine,After a thirteen issue wait... Our second ever swimsuit edition,,Ryan Suenaga,,Syndicomm,2005,English,Computing,2162-7746,2019.04.57,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 11, Issue 1",Printed Matter,Magazine,Jumping in head-first,,Ken Gagne,,Syndicomm,2006,English,Computing,2162-7746,2019.04.58,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 11, Issue 2",Printed Matter,Magazine,SAFE 2,,Ken Gagne,,Syndicomm,2006,English,Computing,2162-7746,2019.04.59,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 11, Issue 3",Printed Matter,Magazine,KansasFest 2006,,Ken Gagne,,Syndicomm,2006,English,Computing,2162-7746,2019.04.60,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 11, Issue 4",Printed Matter,Magazine,Podcasting 101,,Ken Gagne,,Syndicomm,2006,English,Computing,2162-7746,2019.04.61,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 12, Issue 1",Printed Matter,Magazine,Apple II Turns 30,,Ken Gagne,,Syndicomm,2007,English,Computing,2162-7746,2019.04.62,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 12, Issue 2",Printed Matter,Magazine,(Disk) Driver's License,,Ken Gagne,,Syndicomm,2007,English,Computing,2162-7746,2019.04.63,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 12, Issue 3",Printed Matter,Magazine,KansasFest 2007,,Ken Gagne,,Gamebits,2007,English,Computing,2162-7746,2019.04.64,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 12, Issue 4",Printed Matter,Magazine,More Fun than a Crate Full of Apples!,,Ken Gagne,,Gamebits,2007,English,Computing,2162-7746,2019.04.65,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 13, Issue 1",Printed Matter,Magazine,Unboxed!,,Ken Gagne,,Gamebits,2008,English,Computing,2162-7746,2019.04.66,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 13, Issue 2",Printed Matter,Magazine,Ready to Roll!,,Ken Gagne,,Gamebits,2008,English,Computing,2162-7746,2019.04.67,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 13, Issue 3",Printed Matter,Magazine,KansasFest 2008,,Ken Gagne,,Gamebits,2008,English,Computing,2162-7746,2019.04.68,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 13, Issue 4",Printed Matter,Magazine,Apple II Go,,Ken Gagne,,Gamebits,2008,English,Computing,2162-7746,2019.04.69,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 14, Issue 1",Printed Matter,Magazine,Ground Zero,,Ken Gagne,,Gamebits,2009,English,Computing,2162-7746,2019.04.70,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 14, Issue 2",Printed Matter,Magazine,An (Apple) Vision of the Future,,Ken Gagne,,Gamebits,2009,English,Computing,2162-7746,2019.04.71,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 14, Issue 3",Printed Matter,Magazine,KansasFest 2009,,Ken Gagne,,Gamebits,2009,English,Computing,2162-7746,2019.04.72,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 14, Issue 4",Printed Matter,Magazine,If Hardware Could Talk,,Ken Gagne,,Gamebits,2009,English,Computing,2162-7746,2019.04.73,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 15, Issue 1",Printed Matter,Magazine,The iDisk Arrives,,Ken Gagne,,Gamebits,2010,English,Computing,2162-7746,2019.04.74,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 15, Issue 2",Printed Matter,Magazine,Breaking the Floppy Barrier,,Ken Gagne,,Gamebits,2010,English,Computing,2162-7746,2019.04.75,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 15, Issue 3",Printed Matter,Magazine,Take Me Out to KansasFest 2010,,Ken Gagne,,Gamebits,2010,English,Computing,2162-7746,2019.04.76,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 15, Issue 4",Printed Matter,Magazine,The Apple III in your Apple II,,Ken Gagne,,Gamebits,2010,English,Computing,2162-7746,2019.04.77,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 16, Issue 1",Printed Matter,Magazine,Interactive Fiction Takes On the Darkness,,Ken Gagne,,Gamebits,2011,English,Computing,2162-7746,2019.04.78,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 16, Issue 2",Printed Matter,Magazine,Remembering Ryan,,Ken Gagne,,Gamebits,2011,English,Computing,2162-7746,2019.04.79,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 16, Issue 3",Printed Matter,Magazine,KansasFest 2011,,Ken Gagne,,Gamebits,2011,English,Computing,2162-7746,2019.04.80,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 16, Issue 4",Printed Matter,Magazine,The Tiger Learning Computer,,Ken Gagne,,Gamebits,2011,English,Computing,2162-7746,2019.04.81,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 17, Issue 1",Printed Matter,Magazine,Retro Crowdfunding,,Ken Gagne,,Gamebits,2012,English,Computing,2162-7746,2019.04.82,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 17, Issue 2",Printed Matter,Magazine,Industry InCider,,Ken Gagne,,Gamebits,2012,English,Computing,2162-7746,2019.04.83,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 17, Issue 3",Printed Matter,Magazine,KansasFest 2012,,Ken Gagne,,Gamebits,2012,English,Computing,2162-7746,2019.04.84,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 17, Issue 4",Printed Matter,Magazine,AppleWorks Timed Out,,Ken Gagne,,Gamebits,2012,English,Computing,2162-7746,2019.04.85,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 18, Issue 1",Printed Matter,Magazine,Raspberry Pi,,Ken Gagne,,Gamebits,2013,English,Computing,2162-7746,2019.04.86,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 18, Issue 2",Printed Matter,Magazine,Zephyr Launches,,Ken Gagne,,Gamebits,2013,English,Computing,2162-7746,2019.04.87,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 18, Issue 3",Printed Matter,Magazine,Kansas City Nights,,Ken Gagne,,Gamebits,2013,English,Computing,2162-7746,2019.04.88,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 18, Issue 4",Printed Matter,Magazine,Reinventing the Past,,Ken Gagne,,Gamebits,2013,English,Computing,2162-7746,2019.04.89,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 19, Issue 1",Printed Matter,Magazine,Point-and-Schtick,,Ken Gagne,,Gamebits,2014,English,Computing,2162-7746,2019.04.90,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 19, Issue 2",Printed Matter,Magazine,BASIC turns 50!,,Ken Gagne,,Gamebits,2014,English,Computing,2162-7746,2019.04.91,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 19, Issue 3",Printed Matter,Magazine,KansasFest 2014,,Ken Gagne,,Gamebits,2014,English,Computing,2162-7746,2019.04.92,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 19, Issue 4",Printed Matter,Magazine,Enter Shadowgate,,Ken Gagne,,Gamebits,2014,English,Computing,2162-7746,2019.04.93,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 20, Issue 1",Printed Matter,Magazine,An Apple Most Foul,,Ken Gagne,,Gamebits,2015,English,Computing,2162-7746,2019.04.94,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 20, Issue 2",Printed Matter,Magazine,Explosive Fun,,Ken Gagne,,Gamebits,2015,English,Computing,2162-7746,2019.04.95,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 20, Issue 3",Printed Matter,Magazine,KansasFest 2015,,Ken Gagne,,Gamebits,2015,English,Computing,2162-7746,2019.04.96,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 20, Issue 4",Printed Matter,Magazine,127.00.1 for the Holidays,,Ken Gagne,,Gamebits,2015,English,Computing,2162-7746,2019.04.97,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 21, Issue 1",Printed Matter,Magazine,Land of the Rising Apple,,Ken Gagne,,Gamebits,2016,English,Computing,2162-7746,2019.04.98,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 21, Issue 2",Printed Matter,Magazine,Australia,,Ken Gagne,,Gamebits,2016,English,Computing,2162-7746,2019.04.99,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 21, Issue 3",Printed Matter,Magazine,KansasFest 2016,,Ken Gagne,,Gamebits,2016,English,Computing,2162-7746,2019.04.100,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 21, Issue 4",Printed Matter,Magazine,Apple II Festival France 2016,,Ken Gagne,,Gamebits,2016,English,Computing,2162-7746,2019.04.101,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 22, Issue 1",Printed Matter,Magazine,NO CARRIER? No Problem,,Ken Gagne,,Gamebits,2017,English,Computing,2162-7746,2019.04.102,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 22, Issue 2",Printed Matter,Magazine,A IIGS on the big screen,,Ken Gagne,,Gamebits,2017,English,Computing,2162-7746,2019.04.103,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 22, Issue 3",Printed Matter,Magazine,KansasFest 2017,,Ken Gagne,,Gamebits,2017,English,Computing,2162-7746,2019.04.104,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 22, Issue 4",Printed Matter,Magazine,FASTChip IIe,,Ken Gagne,,Gamebits,2017,English,Computing,2162-7746,2019.04.105,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 23, Issue 1",Printed Matter,Magazine,WiModem232,,Ken Gagne,,Gamebits,2018,English,Computing,2162-7746,2019.04.106,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 23, Issue 2",Printed Matter,Magazine,Vintage Veriification,,Ken Gagne,,Gamebits,2018,English,Computing,2162-7746,2019.04.107,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 23, Issue 3",Printed Matter,Magazine,Phasor Sound Card,,Ken Gagne,,Gamebits,2018,English,Computing,2162-7746,2019.04.108,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 23, Issue 4",Printed Matter,Magazine,Applesauce Floppy Disk Controller,,Ken Gagne,,Gamebits,2018,English,Computing,2162-7746,2019.04.109,Ken Gagne,Donated with entire run,,
"Juiced.GS Vol. 24, Issue 1",Printed Matter,Magazine,Springing Ahead with the Apple II,,Ken Gagne,,Gamebits,2019,English,Computing,2162-7746,2019.04.175,Ken Gagne,Donated with entire run,,
"Computer Music Journal Volume 19, Number 1, Synthesis and Transformation",Printed Matter,Journal,"Computer Music Journal Volume 19, Number 1, Synthesis and Transformation",,Stephen Travis Pope,,MIT press,1995,English,Computing Music,0148-9267,2019.08.10,,,,
"Computer Music Journal Volume 14, Number 1, New Performance Interfaces 1",Printed Matter,Journal,"Computer Music Journal Volume 14, Number 1, New Performance Interfaces 1",,Stephen Travis Pope,,MIT press,1990,English,Computing Music,0148-9267,2019.08.11,,,,
"Computer Music Journal Volume 14, Number 2, New Performance Interfaces 1",Printed Matter,Journal,"Computer Music Journal Volume 14, Number 2, New Performance Interfaces 1",,Stephen Travis Pope,,MIT press,1990,English,Computing Music,0148-9267,2019.08.12,,,,
Computer Music Journal Volume 10,Printed Matter,Journal,Computer Music Journal Volume 10,,Curtis Roads,,MIT press,1986,English,Computing Music,0148-9268,2019.08.13,,,,
AES Journal of the Audio Engineering Society Volume 34,Printed Matter,Journal,AES Journal of the Audio Engineering Society Volume 34,,Robert O. Fehr,,"Audio Engineering Society, Inc.",1986,English,Audio Engineering,0004-7554,2019.08.14,,,,
SpeakerBuilder The Loudspeaker Journal Volume 11 Number 3 June,Printed Matter,Journal,SpeakerBuilder The Loudspeaker Journal Volume 11 Number 3 June,,"Edward T. Dell, Jr. ",,"Edward T. Dell, Jr. ",1990,English,"Audio Electronics, Hobbiest",0199-7920,2019.08.15,,,,
"Computer Music Journal Volume 25, Number 2, Performance Interfaces and Dynamic Modeling of Sound",Printed Matter,Journal,"Computer Music Journal Volume 25, Number 2, Performance Interfaces and Dynamic Modeling of Sound",,Douglas Keislar,,MIT press,2001,English,Computing Music,0148-9267,2019.08.16,,,,
"Computer Music Journal Volume 23, Number 4, Performance Interfaces and Dynamic Modeling of Sound",Printed Matter,Journal,"Computer Music Journal Volume 23, Number 4, Tonal Analysis and Genetic Techniques",,Douglas Keislar,,MIT press,1999,English,Computing Music,0148-9267,2019.08.17,,Includes CD of engineered sounds,,
Journal of New Music Research: Music and Machine Learning Volume 40 Number 2,Printed Matter,Journal,Journal of New Music Research: Music and Machine Learning,,Alan Marsden,,Routledge Taylor & Francis Group ,2011,English,Computing Music,0929-8215,2019.08.18,,,,
Journal of New Music Research - Perspectives on Xenakis Volume 33 Number 2,Printed Matter,Journal,Journal of New Music Research - Perspectives on Xenakis Volume 33 Number 2 ,,Alan Marsden,,Routledge Taylor & Francis Group ,2004,English,Computing Music,0929-8215,2019.08.19,,,,
Journal of New Music Research - Musical Structure Volume 38 Number 2,Printed Matter,Journal,Journal of New Music Research - Musical Structure Volume 38 Number 2 ,,Alan Marsden,,Routledge Taylor & Francis Group ,2009,English,Computing Music,0929-8215,2019.08.20,,,,
Journal of New Music Research -  Algorithms for beat tracking and tempo extraction Volume 36 Number 1,Printed Matter,Journal,Journal of New Music Research -  Algorithms for beat tracking and tempo extraction Volume 36 Number 1 ,,Alan Marsden,,Routledge Taylor & Francis Group ,2007,English,Computing Music,0929-8215,2019.08.21,,,,
Journal of New Music Research - Expressive Gesture In Performing Arts and New Media Volume 34 Number 1,Printed Matter,Journal,Journal of New Music Research - Expressive Gesture In Performing Arts and New Media Volume 34 Number 1,,Alan Marsden,,Routledge Taylor & Francis Group ,2005,English,Computing Music,0929-8216,2019.08.22,,,,
PC Magazine Volume 3 Number 18,Printed Matter,Magazine,PC Magazine Volume 3 Number 18,,Bill Machrone,,Jeff Weiner,1984,English,Computing,0745-2500,2019.09.04,,Amazing ads,,
2600 The Hacker Quarterly,Printed Matter,Magazine,2600 The Hacker Quarterly Volume 18 Number 2 Summer 2001,,Emmanuel Goldstein,,"2600 Enterprises, Inc.",2001,English,Computing - hacking,0749-3851,2019.10.13,,,,
