Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes,image,360_image
Kodak Instamatic Camera,126 film cartridge,viewfinder film camera,Kodak Instamatic Camera,,Kodak,104,1968,15.95,,,,,,,flash cube,AAA batteries,,,2019.04.176,,,"came w/ 2019.04.177, in bag w/ printed materials",,
Kodak Instamatic Camera,127 film cartridge,viewfinder film camera,Kodak Instamatic Camera,,Kodak,124,1963,,,,,,,,flash cube,AAA batteries,,,2019.04.177,,,"came w/ 2019.04.176, in bag w/ printed materials",,
Polaroid Automatic Land Camera,"Polaroid 107/108 type film, Fujifilm FP-100c, FP-100b, or FP-3000b",Instant Film Camera,Polaroid Automatic Land Camera,,Polaroid Corporation,420,1971,59.95,,,,,,,"Polaroid Focused Flash, Hi-power Montgomery Ward flashcubes",3.0 volt battery,,,2019.04.178,,,came w/ instruction manual and cold-plate,,
disposable camera,35mm,disposable 35mm film camera,,,"novo nordisk branded disposable camera manufactured by Fairworld, Inc. for WorldWide Concessions,inc.",,2002,,,,,,,,,,,,2019.09.01,,,uses the c-41 developing process,,
Polaroid Sun 600 LMS Land Instant camera,600 film cartidge,Instant film camera,Polaroid Sun 600 LMS,,Polaroid,Sun 600 LMS,1981,,,,,,,,,,,,2019.10.01,,,,,
Polaroid One Step Land Camera BC Series,SX-70 Film,Instant film camera,Polaroid One Step Land Camera BC Series,,Polaroid,One-Step BC Series,1977,,,,,,,,,,,General Electric Flashbar II,2019.10.02,,,came with 3 flash bars in bag,,
Revere Ranger 8mm video camera,Hardware,Video Camera,Revere Ranger 8mm video camera,,Ranger Camera Company,Ranger Cine Camera model 81,1949,,,,,,,,,,,,2019.10.14,,Marianne McHugh Porter,"includes case, telephoto lens, manual",,
Argus 35mm film camera,Hardware,Film Camera,Argus,,Argus,C3 Standard,1958-1966,35,1680516,,,,,,,,,,2019.10.15,,Marianne McHugh Porter,includes case,,
Polaroid Automatic Land Camera,"Polaroid 107/108 type film, Fujifilm FP-100c, FP-100b, or FP-3000b",Instant film camera,Polaroid Automatic Land Camera,,Polaroid Corporation,230,1967-1969,,ZC150933,,,,,,,,,,2019.11.01,,Marianne McHugh Porter,"includes manual, Polaroid cold-clip #193, removed battery",,
