Item,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,ISBN/Identifying #,Accession Number,Donor,Notes
Texas Instruments TI-99/4A Computer Quick Steps to Get You Set Up & Started Now!,Printed Matter,Manual,Texas Instruments TI-99/4A Computer Quick Steps to Get You Set Up & Started Now!,,,,Texas Instruments Inc.,1983,English,Instruction Manual,,2018.09.39,,
Texas Instruments TI-99/4A Computer Quick Steps to Get You Set Up & Started Now!,Printed Matter,Manual,Texas Instruments TI-99/4A Computer Quick Steps to Get You Set Up & Started Now!,,,,Texas Instruments Inc.,1981,English,Instruction Manual,,2018.09.40,,
TI-99/4A Addendum to User's Reference Guide,Printed Matter,Manual,TI-99/4A Addendum to User's Reference Guide,,,,Texas Instruments Inc.,,English,Instruction Manual,,2018.09.41,,
Texas Instruments TI-99 / 4A Computer Beginner's BASIC,Printed Matter,Manual,Texas Instruments TI-99 / 4A Computer Beginner's BASIC,,Don Inman; Ramon Zamora; Bob Albrecht,,Texas Instruments Inc.,1981,English,Instruction Manual,0-89512-028-3,2018.09.42,,
Texas Instruments TI-99 / 4A Computer Beginner's BASIC,Printed Matter,Manual,Texas Instruments TI-99 / 4A Computer Beginner's BASIC,,Don Inman; Ramon Zamora; Bob Albrecht,,Texas Instruments Inc.,1981,English,Instruction Manual,0-89512-028-3,2018.09.44,,
Texas Instruments 99/4A One Year Limited Warranty,Printed Matter,Manual,Texas Instruments 99/4A One Year Limited Warranty,,,,Texas Instruments Inc.,1983,English,Warranty,,2018.09.43,,
Texas Instruments TI-99/4A User's Reference Guide,Printed Matter,Manual,Texas Instruments TI-99/4A User's Reference Guide,,,,Texas Instruments Inc.,1981,English,Instruction Manual,0-89512-048-8,,,
HP-12C Owner's Handbook and Problem Solving Guide,Printed Matter,Manual,HP-12C Owner's Handbook and Problem Solving Guide,Hewlett-Packard,,,Hewlett-Packard Company 1982,1986,English,Reference Manual,00012-90001,2018.10.32,,
Advanced Scientific Calculator Reference Manual,Printed Matter,Manual,Advanced Scientific Calculator Reference Manual,Hewlett-Packard,,,Hewlett-Packard  ,1988,English,Reference Manual,00028-90148,2018.10.33,,
Advanced Scientific Calculator Owner's Manual,Printed Matter,Manual,Advanced Scientific Calculator Owner's Manual,Hewlett-Packard,,,Hewlett-Packard  ,1988,English,Reference Manual,00028-90066,2018.10.34,,
HP 48SX Scientific Expandable Owner's Manual Volume II,Printed Matter,Manual,HP 48SX Scientific Expandable Owner's Manual Volume II,Hewlett-Packard,,,Hewlett-Packard  ,1990,English,Reference Manual,00048-90003,2018.10.35,,
HP 48SX Scientific Expandable Owner's Manual Volume I,Printed Matter,Manual,HP 48SX Scientific Expandable Owner's Manual Volume I,Hewlett-Packard,,,Hewlett-Packard  ,1990,English,Reference Manual,00048-90001,2018.10.36,,
The HP 48 Programmer's ToolKit,Printed Matter,Manual,The HP 48 Programmer's ToolKit,James Donnelly,,,Armstrong Publishing Company,1990,English,Software Manual,,2018.10.37,,
Customize Your HP-28,Printed Matter,Manual,Customize Your HP-28,W.A.C. Mier-Jedrzejowica,,,W.A.C. Mier-Jedrzejowica,1988,English,Software Manual,0-9510733-1-1,2018.10.38,,
The GNU Emacs Lisp Reference Manual,Printed Matter,Manual,The GNU Emacs Lisp Reference Manual,"Bill Lewis, Dan LaLiberte, and the GNU Manual Group",,,Free Software Foundation,1990,English,Reference Manual,,2018.11.03,Neil McBurnett,
Unix Programmer's Manual 6th Edition,Printed Matter,Manual,Unix Programmer's Manual 6th Edition,"K. Thompson, D.M. Ritchie",,,University of California Berkeley,1978,English,Reference Manual,,2018.11.04,Neil McBurnett,
TRS-80 Model 100 Portable Computer,Printed Matter,Manual,TRS-80 Model 100 Portable Computer,Tandy Corporation,,,Tandy Corporation,1983,English,Instruction Manual,,2018.11.13,,
TRS-80 Model 100 Portable Computer,Printed Matter,Manual,TRS-80 Model 100 Portable Computer,Tandy Corporation,,,Tandy Corporation,1983,English,Instruction Manual,,2018.11.14,,
Apple II Reference Manual January 1978,Printed Matter,Manual,Apple II Reference Manual January 1978,Apple Computer Inc.,,,Apple Computer Inc.,1978,English,Reference Manual,,2018.11.33,,
