Name,Medium,Type,Product Name,User Name,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Drive Disk,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Tested [date],Donor,Notes
[Timex Sinclair 1500],Hardware,Desktop Computer,Sinclair 1500,Timex Sinclair 1500,Sinclair Research,M-338,1983,$79.95,P027424SO,N/A,N/A,N/A,16K,"Zilog Z80A, 3.5 MHz","expansion, cassette",N/A,ROM BASIC,"Cassette Recorder, T/S Printer",2013.12.112,,Aaron Kuhn,
[Timex Sinclair ZX81],Hardware,Desktop Computer,Sinclair ZX81,Timex Sinclair ZX81,Sinclair Research,ZX81 USA,1981,$149.95,N/A,N/A,N/A,N/A,1K,"NEC Z-80A, 3.25MHz","Headphone, Microphone, 9V DC power, Serial connection",N/A,ROM BASIC,Sinclair Thermal Printer,2013.12.113,,Aaron Kuhn,2013.12.133.
