Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes,image,360_image
Edison A-250 Diamond Disk Phonograph, Hardware, Record Player, Edison A-250 Diamond Disk Phonograph, Edison A-250 Diamond Disk Phonograph, Edison, A-250, 1913,, 4-349,,2015.02.88,,,,,
Califone 1925, Hardware, Record Player, Califone 1925, Califone 1925, Califone Inc., 1925, c. 1960,, JA-00631,,2015.02.89,,,,,
