Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Accession Number,Date Tested,Donor,Notes
Smith-Corona WP 135 Word Processor,Hardware,Word Processor,Smith-Corona WP 135 Word Processor,Smith-Corona WP 135 Word Processor,Smith-Corona,WP 135,N/A,N/A,00774458 Rev. A,2013.07.262,2014-06-13,,
XEROX 6016 Memorywriter Word Processor,Hardware,Word Processor,XEROX 6016 Memorywriter Word Processor,XEROX 6016 Memorywriter Word Processor,XEROX,6016,Unknown,N/A,N/A,2013.07.266,2014-06-13,,
