Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
[IBM Portable Personal Computer 5155],Hardware,Portable Computer,IBM Portable Personal Computer 5155,IBM Portable Personal Computer 5155,IBM,Model 68,1984,"$4,225",,5 1/4’’ Double-Sided Diskette Drive,N/A,N/A,"256K, 640K max",Intel 8088 @ 4.77MHz,"1 parallel, 1 serial, CGA video",Five Expansion Slots,IBM PC-DOS Version 2.10 (disk),Most IBM Personal Computer options.,2013.06.82,,,
[IBM ThinkPad],Hardware,Portable Computer,ThinkPad,IBM ThinkPad,IBM,“Type 2611”,1998,,AA-DFMR6,3.5” Floppy Drive,CD-ROM,5GB,160MB,Intel Celeron 365MHz,"Headphone, Microphone, Aux audio, 15-pin Monitor, 20-pin printer, 9-pin peripheral, 1x USB, phone line",,"Win XP, Win 2000","Includes wireless card, mouse, AC adapter",2014.1.1,1/2/2014,“Anonymous”,Completely functional. Multiboot setup for Windows XP and Windows 2000. Internet functional.
[IBM ThinkPad 560],Hardware,Portable Computer,IBM ThinkPad 560,IBM ThinkPad 560,IBM,IBM,1997,"$1,999",,,,2 GB,8 MB,Intel Pentium 133 MHz,,,,,2013.07.253,,,
