Item,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Drive Disk,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Tested [date],Donor,Notes
Calculator,Hardware,Handheld Devices,Studio7310 Calculator,Studio7310 Calculator,Studio7310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.04.54,,,
On Hand Wearable PC,Hardware,Handheld Devices,On Hand Wearable PC,On Hand Wearable PC,Matsucom,N/A,1999,N/A,N/A,N/A,N/A,N/A,15 MG,486 75MHz Pentium 133 MHz,,N/A,Windows 95/98/ME; Windows NT 4.0; Windows 2000,,2018.09.29,,,"Comes with installation software CD, PC Software Manual, User's Manual, charger and key fob"
LCD Computer Chess,Hardware,Handheld Devices,LCD Computer Chess,LCD Computer Chess,"Excalibur Electronics, Inc.",375,,N/A,LC014992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.09.34,,,
T-Mobile G1-A HTC Dream Mobile Phone,Hardware,Handheld Devices,T-Mobile G1-A HTC Dream Mobile Phone,T-Mobile G1-A HTC Dream Mobile Phone,HTC,G1,2008,N/A,N/A,N/A,N/A,N/A,"256 MB of internal storage, 192 MB RAM",528 MHz Qualcomm MSM7201A ARM11 processor,Power serial port,N/A,Android m3-rc22a to 1.6,N/A,2018.11.35,,,
Nokia N810 Mobile Phone,Hardware,Handheld Devices,Nokia N810 Mobile Phone,Nokia N810 Mobile Phone,Nokia,N810,2007,N/A,N/A,N/A,N/A,N/A,128 MB,400 MHz TI OMAP 2420,Power port,N/A,Maemo 4.1 (codename Diablo),N/A,2018.11.36,,,
Nokia 9500 Communicator,Hardware,Handheld Devices,Nokia 9500 Communicator,,Nokia,9500,2004,N/A,N/A,N/A,N/A,N/A,64 megabytes of SDRAM,TI OMAP 150MHz,Power serial port; headphone jack,"Bluetooth, IrDA, 802.11b",Symbian-based Series 80 platform,N/A,2018.11.37,,Daniel Lesthinger,
PalmPilot,Hardware,Handheld Devices,PalmPilot,,USRobotics,5000,1996,$369,60471bp60049,N/A,N/A,N/A,512 KB (Personal) or 1024 KB (Professional) built in,Motorola 68328 processor at 16 MHz,Power port,N/A,Palm OS 2.0,N/A,2018.11.38,,Daniel Lesthinger,
Casio Business Scheduling System SF-5780 Illuminator,Hardware,Handheld Devices,Casio Business Scheduling System SF-5780 Illuminator,,Casio  ,SF-5780 Illuminator,?,N/A,N/A,N/A,N/A,N/A,256KB,N/A,N/A,N/A,N/A,N/A,2018.11.39,,Daniel Lesthinger,
Intel Web Tablet,Hardware,Handheld Devices,Intel Web Tablet,,Intel,Web Tablet,2001,N/A,TA3710300040,N/A,N/A,N/A,Intel StrataFlash™ memory,StrongARM* SA-1110 processor,N/A,N/A,VxWorks real-time operating system,N/A,2018.11.40,,Daniel Lesthinger,
Intel Web Tablet,Hardware,Handheld Devices,Intel Web Tablet,,Intel,Web Tablet,2001,N/A,TA3710300047,N/A,N/A,N/A,Intel StrataFlash™ memory,StrongARM* SA-1110 processor,N/A,N/A,VxWorks real-time operating system,N/A,2018.11.41,,Daniel Lesthinger,
Intel Web Tablet,Hardware,Handheld Devices,Intel Web Tablet,,Intel,Web Tablet,2001,N/A,TA3710300071,N/A,N/A,N/A,Intel StrataFlash™ memory,StrongARM* SA-1110 processor,N/A,N/A,VxWorks real-time operating system,N/A,2018.11.41,,Daniel Lesthinger,
Intel Viliv X70-1,Hardware,Handheld Devices,Intel Viliv X70-1,,Intel,X70-1,2009,N/A,N/A,N/A,N/A,N/A,16GB SSD, Intel Atom CPU Z520,"1 USB A, 1 USB Mini-B, SD card slot, headphone jack, SIM card slot, proprietary A/V-out that supports VGA, component, S-Vid, and composite",N/A,Windows XP,N/A,2018.11.44,,Daniel Lesthinger,
Cybilo Wireless Inter-Tainment System,Hardware,Handheld Devices,Cybilo Wireless Inter-Tainment System,,Cybiko,Classic,2000,N/A,N/A,N/A,N/A,N/A,512KB flash memory-based ROM flash memory and 256KB RAM,Hitachi H8S/2241,N/A,N/A,N/A,N/A,2018.11.45,,Daniel Lesthinger,
